('SNRNP200', -351.87518823420396)
('EXOC1', -350.7776421388844)
('NUP214', -350.5229655132862)
('USP10', -344.5653643858677)
('TLR7', -341.2209407670307)
('STAT2', -340.15743812642177)
('NCAPH2', -339.99366718827514)
('IL1RN', -338.3424734484579)
('VPS35', -337.7949113305949)
('ATP5F1B', -332.53316474269377)
('PNPT1', -332.5032872114389)
('DDOST', -332.19936988916015)
('SLC25A6', -331.83779850095743)
('ZC3HAV1', -329.82266231958056)
('GFAP', -329.30708491583937)
('SHMT2', -329.1095639388077)
('QSOX2', -327.36992760622525)
('RPTOR', -327.05810939503135)
('TAF6', -325.5932581407542)
('MARS', -325.461010261497)
('FHL2', -319.44537072145613)
('SETBP1', -312.042848163459)
('OLA1', -310.0315456952958)
('GABPB2', -309.14496948278975)
('USH2A', -305.3387079682725)
('IPO11', -304.8248333662341)
('PIK3R1', -300.7121347997454)
('SMC2', -300.31065609082)
('LYSMD2', -300.06424162647454)
('PSMD4', -299.18772123905364)
('CCDC138', -297.6617234949372)
('TUBB2A', -296.89400284943986)
('IMPDH2', -296.44844382227166)
('SLC4A7', -294.78229878027923)
('GCN1', -293.6152583073417)
('ECD', -290.4114868414181)
('METTL3', -289.36363676097244)
('TAL1', -287.4937709508231)
('SECISBP2', -286.98591479094466)
('RPL5', -285.8944282438897)
('DNM2', -284.48678766400553)
('ZBTB25', -281.7328804405697)
('CD7', -280.2441482654249)
('PSMC3', -280.0369444915559)
('POLR2A', -279.52193481929135)
('SAMHD1', -277.3482045820565)
('PCBP2', -276.965473292541)
('FMR1', -275.98006589736906)
('JUP', -275.15642290373216)
('TERT', -272.4689635166724)
('BCAP31', -272.4585476477805)
('PARP1', -271.06249710265547)
('SEPT2', -270.31137548349216)
('DOCK8', -268.2747496267257)
('RBPMS', -267.1274511810916)
('HTATSF1', -266.2180883421097)
('NFKB2', -264.6092550684116)
('SFMBT2', -263.24130056303693)
('CASP1', -263.2329927920946)
('MPI', -260.77359023614554)
('SEC22B', -260.4388663137797)
('LDHC', -259.8645654140855)
('TCF3', -259.22542205874925)
('MLH1', -258.87917161380756)
('NUP107', -256.9336220967525)
('ABLIM1', -256.7787511294882)
('MAPK9', -255.73422382128774)
('EEF1D', -254.40514486737084)
('SNX10', -254.0314541712287)
('HGH1', -253.91982334683416)
('FOXRED2', -253.21116375076235)
('USO1', -253.06100747620803)
('FXR2', -252.88592416030588)
