Gene	JD-MD_EP-WT3_NEY922A14-9_S38	JD-MD_EP-WT2_NEY922A14-8_S37	JD-MD_EP-WT1_NEY922A14-7_S36	JD-MD_EP-KO4_NEY922A14-14_S6	JD-MD_EP-KO3_NEY922A14-13_S5	JD-MD_EP-KO2_NEY922A14-12_S4	JD-MD_EP-KO1_NEY922A14-11_S3
Podn	0	0	1	0	0	1	0
Podnl1	0	1	0	0	0	1	0
Podxl	0	0	0	0	0	1	1
Podxl2	0	0	0	0	0	0	1
Pof1b	0	0	0	1	0	1	0
Pofut1	477	304	555	467	773	1064	746
Pofut2	1638	1306	1671	1380	2363	2567	1824
Pogk	513	329	544	429	792	1076	854
Poglut1	385	344	368	427	767	884	692
Pogz	636	386	673	482	884	1140	884
Pola1	479	356	410	235	463	621	506
Pola2	493	458	501	407	796	780	607
Polb	280	447	298	323	547	540	412
Pold1	306	222	317	262	442	530	383
Pold2	277	236	210	193	275	321	217
Pold3	605	695	616	564	1114	1315	882
Pold4	55	35	70	46	78	81	51
Poldip2	393	402	428	415	713	752	636
Poldip3	3038	2270	3310	2551	4713	5499	4191
Pole	410	157	349	220	379	446	379
Pole2	125	166	117	82	180	183	139
Pole3	253	458	216	288	458	445	317
Pole4	412	629	448	374	730	771	621
Polg	606	426	617	634	1011	1225	951
Polg2	40	61	28	26	66	74	38
Polh	267	201	229	197	319	430	311
Poli	50	50	69	69	92	102	98
Polk	176	132	167	209	422	601	502
Poll	84	89	51	85	187	173	129
Polm	77	32	42	56	73	115	71
Poln	0	4	5	2	2	7	6
Polq	108	50	79	44	110	156	136
Polr1a	780	347	779	593	1121	1548	1089
Polr1b	229	161	245	303	382	436	350
Polr1c	389	517	442	435	863	856	553
Polr1d	1117	2428	1355	1312	2370	2120	1569
Polr1e	268	411	351	311	492	480	356
Polr2a	9422	3373	9656	5099	7920	11897	8731
Polr2b	1182	979	1071	976	1953	2253	1675
Polr2c	522	677	622	549	1132	1073	847
Polr2d	151	240	181	220	346	333	264
Polr2e	612	1087	699	709	1343	1246	872
Polr2f	469	944	492	496	991	855	606
Polr2g	711	1445	786	799	1684	1398	1110
Polr2h	326	638	293	348	661	547	391
Polr2i	193	582	176	252	487	333	282
