TF	Gene
TBX5	DLL3
IRF7	ZC3H13
ZEB1	ADAT3
NKX2-2	MTBP
USF1	B3GNT9
MYC	B3GNT9
MAX	B3GNT9
GLI3	SDCCAG8
STAT5B	SDCCAG8
ALX1	SDCCAG8
CDX1	SDCCAG8
CDX2	SDCCAG8
ELF2	SDCCAG8
GLI1	SDCCAG8
FOXJ2	SDCCAG8
GLI2	SDCCAG8
IL10	RCAN1
HNF1A	COQ10B
TCF3	COQ10B
FOXL1	HINT1
CUX1	HINT1
TFAP2A	MXD4
ATF6	XPNPEP1
XBP1	XPNPEP1
STAT1	FZD5
TCF3	FZD5
PPARG	FZD5
IL6	MBOAT2
AIRE	MTMR7
SREBF1	MT1B
PAX5	MT1B
CEBPB	MT1B
PAX6	MT1B
MTF1	MT1B
HSF1	MT1B
AR	MT1B
CEBPA	TMIGD2
DDIT3	TMIGD2
TLX1	NYX
NFIC	NYX
CUX1	PDCD7
STAT3	MACF1
STAT1	MACF1
AR	MACF1
E2F1	LSM3
ESR1	LSM3
APC	LSM3
E2F4	LSM3
GATA1	TRIP10
CEBPA	TRIP10
CRX	TRIP10
NR1I2	TRIP10
DDIT3	TRIP10
NR2F2	TRIP10
CD40	TRIP10
NR1H3	TRIP10
RARA	TRIP10
RARB	TRIP10
CEBPD	TRIP10
RXRG	TRIP10
RAX	TRIP10
RXRA	TRIP10
HOXA7	TRIP10
NFYB	TRIP10
NFYA	TRIP10
NR2F1	TRIP10
CASR	TRIP10
NR1H2	TRIP10
RARG	TRIP10
RXRB	TRIP10
PPARG	TRIP10
NR6A1	SFRP4
GABPA	SFRP4
MEF2A	PALM2
ARID5B	ARMC1
HOXC6	VAV1
PBX3	VAV1
EFNA2	VAV1
PKNOX1	VAV1
ELK1	VAV1
PBX1	VAV1
HOXB1	VAV1
PDX1	VAV1
PBX2	VAV1
HOXB7	VAV1
HOXB8	VAV1
SRF	ARC
LHX3	ALG14
CEBPB	COQ5
FOXF1	COQ5
FOXF2	COQ5
FOXJ1	COQ5
FOXJ2	COQ5
FOXD3	COQ5
PPARG	COQ5
NFYB	ANAPC5
NFYA	ANAPC5
GATA1	MXD3
MEIS1	MXD3
LMO2	MXD3
ELK1	MXD3
DSP	SMAD6
RREB1	SMAD6
NHLH1	SMAD6
STAT3	CDC37P1
STAT1	CDC37P1
IRF4	TNFSF15
IRF5	TNFSF15
IRF7	TNFSF15
IRF3	TNFSF15
IRF2	TNFSF15
IRF6	TNFSF15
IRF8	TNFSF15
IRF1	TNFSF15
SP3	C12ORF41
E2F1	PHF15
CEBPA	PHF15
DSP	PHF15
WT1	PHF15
BRCA1	PHF15
EGR2	PHF15
EGR1	PHF15
RREB1	PHF15
FOXO4	PHF15
SP1	PHF15
NR2F2	PHF15
LEF1	PHF15
USF2	PHF15
SP2	PHF15
FOXO3B	PHF15
HNF4A	PHF15
HNF4G	PHF15
SP4	PHF15
SP3	PHF15
EGR3	PHF15
ETS1	PHF15
MZF1	PHF15
NR2F1	PHF15
UBE4A	PHF15
FOXO3	PHF15
HIC1	PHF15
FOXD3	PHF15
FOXI1	PHF15
E2F3	PHF15
TFDP1	PHF15
E2F4	PHF15
ESR1	SLC22A23
CUX1	SLC22A23
ZBTB6	BDH1
NKX3-1	PBXIP1
STAT6	PBXIP1
STAT5A	PBXIP1
NFATC2	PBXIP1
NFATC4	PBXIP1
NFATC1	PBXIP1
NFATC3	PBXIP1
RFX1	PBXIP1
ELF2	PBXIP1
TBX5	C19ORF57
DEC1	C19ORF57
BHLHE41	C19ORF57
POU2F1	TAS1R1
FOXO4	TTF2
FOXO3B	TTF2
FOXF2	TTF2
FOXO3	TTF2
FOXO1	TTF2
USF1	GPR176
MYC	GPR176
MAX	GPR176
NRF1	COG6
NR1I2	COG6
NR2F2	COG6
NR1H3	COG6
RARA	COG6
RARB	COG6
RXRG	COG6
RXRA	COG6
NR2F1	COG6
CASR	COG6
NR1H2	COG6
RARG	COG6
RXRB	COG6
GATA1	ARL4A
GATA2	ARL4A
TFAP2A	ARL4A
GATA3	ARL4A
RFX1	PTRH1
ETS1	PTRH1
RFXANK	PTRH1
RFXAP	PTRH1
ATF1	PTRH1
RFX5	PTRH1
NFYB	SESN2
NFYA	SESN2
ZNF350	AXIN1
RFX1	AXIN1
SOX9	AXIN1
ATF6	TM9SF3
HNF1A	TM9SF3
ELK1	TM9SF3
AR	TM9SF3
RXRA	PDRG1
NR1H2	PDRG1
PPARG	PDRG1
ALX4	PDRG1
GATA1	IRF2BP1
STAT1	IRF2BP1
HNF1A	IRF2BP1
NFIL3	IRF2BP1
HLF	IRF2BP1
HNF1B	IRF2BP1
MEF2A	DGKI
POU2F1	DGKI
AIRE	NUP50
PAX5	CARD11
SRF	IQUB
FOXC1	ELK3
FOXP3	ELK3
NFATC2	ELK3
NFATC4	ELK3
NFATC1	ELK3
BACH1	ELK3
NFATC3	ELK3
POU1F1	ELK3
SOX9	BRSK2
NFYA	BRSK2
NHLH1	BRSK2
HNF4A	BRAP
SOX2	CSNK2B
SOX15	CSNK2B
SOX18	CSNK2B
SOX21	CSNK2B
GABPA	CSNK2B
SOX10	CSNK2B
SOX11	CSNK2B
SOX5	CSNK2B
SOX9	CSNK2B
SOX8	CSNK2B
SOX12	CSNK2B
SRY	CSNK2B
SOX14	CSNK2B
SOX3	CSNK2B
SOX4	CSNK2B
SREBF1	RPL26L1
PPARG	SLC9A3
CDX1	SEMG2
CDX2	SEMG2
ONECUT2	TTC14
ONECUT1	TTC14
CEBPB	TTC14
STAT5B	GPR182
VSX2	LIX1
NR2F2	HPS6
HNF4A	HPS6
PPARA	HPS6
HNF4G	HPS6
RXRA	HPS6
